Word,Alternative Forms,POS,Definition
กะเบอ,,ว.,"ว. มาก (ดู จัง, ว.)."
กะเบ๋อ,,สัน.,"สัน. ก็เมื่อ, ในเมื่อ, ก็เพราะ (ดู กะเบอะ)."
กะเบอะ,,สัน.,"สัน. ก็เมื่อ, ในเมื่อ, ก็เพราะ เช่น งานไม่เสร็จกะเบอะไม่ทำ - งานไม่เสร็จก็เพราะไม่ทำ"
"กะเบ๋อ, กะเม่อ, คะเม่อ, กะเว่อ",ก็ว่า.,,
กะเบากลัด,,น.,น. ชื่อไม้ต้นขนาดกลางชนิดหนึ่ง (ดู หัวค่าง).
กะเบาน้ำ,,น.,"น. ชื่อไม้ต้นชนิดหนึ่ง ใบเล็ก ดอกเล็ก มีกลิ่นหอม (ดู กาหลง, น., )."
กะปะ,,น.,"น., ขวาน (ม. กาเปาะ ;, น.ธ.)., กระพรวน., งูกะปะ (ดู ปะ, น., )."
กะปั๊ป,,ก.,"ก. ขึ้นต้นไม้โดยใช้มือทั้งสองจับลำต้นแล้วขยับเท้าขึ้นไปพร้อมกันทั้งสองข้าง (ดู ปลับ, ก., )."
กะปิต้า,,น.,"น. คาร์บูเรเตอร์ (อ. carburetor : ภ.ก., พ.ง.)."
กะเปรง,,ก.,"ก. ระย้า, เครื่องห้อยเป็นพวงเป็นพู่ (ช.พ.)."
กะเปร้ง,,ว.,ว. เรียกลักษณะที่โผล่ขึ้นมาจำนวนมาก ๆ
กะเปะ,,น.,"น., หน่อไม้น้ำ (ดู ก่าเปก)., รั้วพรางสำหรับเป็นแนวให้สัตว์เดินสู่กับดัก., ภาชนะตักน้ำที่ทำจากวัสดุต่าง ๆ (ดู หมา, น., )."
กะเผล้ง,,น.,"น., กะละมังสังกะสีใบเล็ก ๆ., กระป๋องตักน้ำสังกะสีใบเล็ก ๆ (ช.พ.)."
กะผะ,,ก.,ก. ทะลึ่ง เช่น มึงยามากะผะที - มึงอย่ามาทะลึ่งนักเลย (ภ.ก.).
กะเฝือก,,น.,"น. ฟอง (ดู เปือก, น., )."
กะพ้ง,,น.,"น. กระพุ้งแก้ม (ดู พ้ง, น., )."
กะพด,,น.,"น. เปลือกมะพร้าว (ดู พด, น., )., ก. ขดตัว (ดู พด, ก., )."
กะพรก,,น.,"น. กะลา (ดู พรก, น.)."
กะพวง,,น.,"น. ฟอง (ดู เปือก, น., )."
กะพอก,,น.,"น. กล่องสานมีฝาครอบสำหรับใส่อาหาร, หม้อ, กระบะสำหรับใส่กับข้าว (ดู พอก, น.)."
กะพ้อแดง,,น.,น. ชื่อพืชจำพวกปาล์ม วงศ์ Palmae ใบประกอบรูปฝ่ามือ เรียงเวียนสลับ ช่อดอกเป็นช่อแยกแขนง ออกตามง่ามใบ ดอกสีขาวแกมเขียว ผลกลมสีแดงถึงดำ.
กะพ่อม,,น.,"น. กระออม (ดู ออม, น.)."
กะเพร็ง,,ว.,ว. เสียงดังเซ็งแซ่ (ดู เพร็ง).
กะเพือก,,น.,"น. ฟอง (ดู เปือก, น., )."
กะโพล้,,น.,"น. ภาชนะทำด้วยกะลามะพร้าว สำหรับใส่เหยื่อตกปลา (ดู กะโอ, น.)."
กะโพะ,,น.,"น. ฟอง (ดู เปือก, น., )."
กะมะ,,ก.,"ก., คาดคะเน, ประมาณ (ดู ฆะมะ)., หยอกล้อ (ช.พ.)."
กะมุ,,น.,"น., ยุ้งข้าวขนาดเล็ก กั้นไว้ส่วนใดส่วนหนึ่งของอาคาร (ช.พ.)., เครื่องมือจับปลาทำด้วยไม้ไผ่เป็นซี่คล้ายฟาก (ดู โมฺระ)."
กะเม่อ,,สัน.,"สัน. ก็เมื่อ, ในเมื่อ, ก็เพราะ (ดู กะเบอะ)."
กะแมฺล้,,น.,"น. สะเก็ดแผล (ดู แหฺม, น., )."
กะยอง,,ก.,ก. จับพิรุธได้ เรียกว่า จับกะยองได้ (ช.พ.).
กะแยะ,,ก.,"ก. กระแทก (ดู แยก, ก., )."
กะรำ,,ก.,ก. อยากกระทำ (ดู กึรำ).
กะรี,,น.,น. ไหขนาดใหญ่ ปากแคบ (ดู กุรี).
กะเร,,น.,"น. ชื่อไม้ล้มลุกชนิดหนึ่ง (ดู ต้นตายปลายเป็น)., ก. เตร็ดเตร่."
กะเรกะร่อนปากเป็ด,,น.,น. ชื่อกล้วยไม้อิงอาศัยบนต้นไม้อื่น วงศ์ Orchidaceae ใบเดี่ยวเรียงซ้อนกันเป็น ๒ แถว ดอกสีเหลืองแกมเขียว กลีบลิ้นสีขาว ประกอบด้วยแถบสีแดงแกมม่วง กลางสีเหลือง.
กะเระ,,น.,น. บุหรี่ (ดู ยาสูบ).
กะลอ,,น.,น. ชื่อไม้ขนาดย่อมโตเร็วอยู่ในวงศ์ Euphorbiaceae ใบใหญ่ก้นปิด มักขึ้นในป่าใส หรือป่าไม้อ่อน ในที่ชุ่มชื้น มีสองชนิด คือ กะลอแดงกับกะลอดำ.
กะละ,,น.,"น. ภาพยนตร์., ว. ดึก. (ดู ฆึละ)."
กะละบูด,,น.,น. ไม้กวนหม้อข้าว (ป.น.)
สะแดะ,ก็เรียก.,,
กะละปั๋น,,น.,"น. โคลนตม (ดู หลุด, น., )."
กะลั่ง,,ก.,"ก. พูดหยาบโลน, พูดทะลึ่ง (ช.พ.)."
กะลังไก,,น.,น. ต้นตำแยชนิดหนึ่ง (ดู รังทังไก).
กะลั่วตั้ว,,ว.,"ว. ตื่นกลัว (ดู หลา, ว.)."
กะลา,,น.,"น. ชาวอินเดียที่ประกอบอาชีพขายผ้า (ภ.ก., พ.ง.)."
กะลาทูนหงอก,,น.,"น. การเล่นของเด็ก โดยเอาสิ่งของ เบา ๆ เช่น ฝ้ายหรือสำลีไปวางบนศีรษะผู้อื่นโดยไม่ให้รู้ตัว แล้วร้องว่า ""กะลาทูนหงอก อย่าบอกใคร ๆ กะลาทูนไข่ บอกเติด บอกเติด"" เด็กทั้งหลายที่ได้ยินก็เอามือมาลูบศีรษะเพื่อหาสิ่งนั้นทันที ก็จะทำให้รู้ว่าใครถูกหลอกให้วางสิ่งของบนศีรษะ., สำ. ดำเหมือนกะลา หมายถึง ดำสนิทเหมือนชาวอินเดียบางเผ่า."
กะลาย,,น.,น. เครือกล้วย (ช.พ.).
กะลิก,,ก.,ก. สะกิด (ดู กิด).
กะลื้น,,ก.,"ก., ทื่อ, ไม่คม., ทะลึ่ง (ดู ลึ่ง)."
กะลุมพี,,น.,"น. กะลุมพี (ดู พี, น.)."
กะลุย,,ว.,ว. มากมายก่ายกอง (ดู กองลุย).
กะลูง,,น.,"น. ชื่อไม้ต้นขนาดกลาง (ดู ฝาด, น.)."
กะลูแป,,น.,น. ชื่อไม้ยืนต้นขนาดกลางถึงใหญ่ วงศ์ Sterculiaceae ใบเดี่ยวเรียงสลับ ช่อดอกออกตามง่ามใบ และบริเวณปลายกิ่ง ผลรูปไต.
กะเลิง,,น.,"น. ภาชนะดินเผาขนาดใหญ่คล้ายกะออม ปากกว้างกว่า (พ.ง.,, น.ธ.)., ก. เหลิง (ช.พ.)."
กะเลาะ,,น.,น. มะม่วงหิมพานต์ (ดู ยาร่วง).
กะและ,,น.,"น. การเล่นของเด็ก (ดู ฆะและ, น., )."
กะโล้ย,,ก.,"ก. ตะโกน, เรียกดัง ๆ"
กะโล้ยกั๋น (น.ธ.),ก็ว่า.,,
กะไล,,ว.,"ว. ละเมอ (ดู ไล, ว., )."
กะวะ,,น.,"น. เครื่องมือจับสัตว์น้ำ รูปร่างคล้ายสวิง (ดู วะ, น., )."
กะเว่อ,,สัน.,"สัน. ก็เมื่อ, ในเมื่อ, ก็เพราะ (ดู กะเบอะ)."
กะสฺตฺรอง,,น.,"น. กระชอน (ดู กรอง, น.)."
กะสฺตฺรองพร้าว,,น.,"น. กระชอน (ดู กรอง, น.)."
